HeatNo,TotalIngotsWeight,PouringScrap,OtherScrap,Last_EOP,Cr_Last_EOP,Cr_Final,LFVD_FeCrA,LFVD_FeCrC,Ni_Last_EOP,Ni_Final,LFVD_NiGran,LFVD_NiKatode,Mo_Last_EOP,Mo_Final,LFVD_FeMo,LFVD_Polymox,V_Last_EOP,V_Final,LFVD_FeV,W_Last_EOP,W_Final,LFVD_FeW72,LFVD_WPaketi,Cr_LowerLimit,Cr_Target,Cr_UpperLimit,Mo_LowerLimit,Mo_Target,Mo_UpperLimit,Ni_LowerLimit,Ni_Target,Ni_UpperLimit,V_LowerLimit,V_Target,V_UpperLimit,W_LowerLimit,W_Target,W_UpperLimit,LFVD_AlBloki,LFVD_AlGran,LFVD_AlOplašèenaŽica,LFVD_AlŽica,LFVD_BelaŽlindra,LFVD_Boksit,LFVD_CASIfi13,LFVD_CaO,LFVD_CaSi,LFVD_Cfi13,LFVD_CoMet,LFVD_Cu,LFVD_EPŽŽlindra,LFVD_FeAl,LFVD_FeB,LFVD_FeBŽica,LFVD_FeCrC51,LFVD_FeCrCSi,LFVD_FeCrNit,LFVD_FeMnA,LFVD_FeMnC,LFVD_FeNbTa,LFVD_FeNbTafi13,LFVD_FeS,LFVD_FeSi,LFVD_FeSiZrŽica,LFVD_FeTi,LFVD_FeTifi13,LFVD_KalcijevKarbid,LFVD_KarboritMleti,LFVD_KarboritZaVpih,LFVD_Kisik,LFVD_MnMet,LFVD_Molyquick,LFVD_Ni90,LFVD_NiOksid,LFVD_OdpCu,LFVD_SLAGMAG65B,LFVD_SiMet,LFVD_SiMn,LFVD_SintŽlindra,LFVD_SŽica,LFVD_LastTemperature,LFVD_AlloyWeight,LFVD_NonMetalInclusionsWeight,31CRV3,CRMO OSTRUŽKI,CRV,E3,E40,E6,E8,ECN150,EMCR,OCR12,OCR12SP,OCR12VM,OCR12VM OSTRUŽKI,OH252,OH255,OSIKRO3,OSIKRO4,PK2,PK5,PK5M,PT181,PT929,UTOP1,UTOPMO2,UTOPMO4,VCMO230,PV_12MN,PV_145V33,PV_18MNCR4,PV_19MNCR18,PV_214N,PV_28304N,PV_31CRV3,PV_BRC,PV_BRC3,PV_BRCMO,PV_BRCMO2,PV_BRCV,PV_BRM,PV_BRM1,PV_BRM2,PV_BRM2_OSTRUŽKI,PV_BRU,PV_BRW,PV_BRW1,PV_CK10,PV_CRMO_DROBIŽ,PV_CRMO_OSTRUŽKI,PV_CRV,PV_CRV2,PV_CRV3,PV_CRV3_OSTRUŽKI,PV_EC80,PV_ECN150,PV_ECN35,PV_EMCR,PV_INVAR36,PV_MKK,PV_OC100EX,PV_OCR12,PV_OCR12EX,PV_OCR12SP,PV_OCR12SPW,PV_OCR12VM,PV_OCR12VM_OSTRUŽKI,PV_OCR4PR,PV_OCR8VMS,PV_OCR8W,PV_OCR8W_OSTRUŽKI,PV_OH236NI,PV_OH239,PV_OH250,PV_OH252,PV_OH255,PV_OH257,PV_OH258,PV_OH260,PV_OH807,PV_OSIKRO3,PV_OSIKRO4,PV_OSV1,PV_OV862,PV_OW1,PV_OW4,PV_OW6,PV_PK10,PV_PK11,PV_PK11S,PV_PK12,PV_PK13,PV_PK15,PV_PK19,PV_PK2,PV_PK20,PV_PK2SP,PV_PK332,PV_PK335,PV_PK335_OSTRUŽKI,PV_PK338,PV_PK340,PV_PK343,PV_PK346,PV_PK3NI,PV_PK5,PV_PK5M,PV_PK939,PV_PK942,PV_PKAS,PV_PKTB,PV_PO102,PV_PO180,PV_POSEBNA_JEKLA_OSTRUŽKI,PV_PT181,PV_PT202,PV_PT212,PV_PT929,PV_RAVNAL2,PV_RAVNIN2,PV_RAVNIN3,PV_RAVNIN4,PV_SIVA_LITINA,PV_TMCN1,PV_TMCN2,PV_TMCN2_OSTRUŽKI,PV_UTOP1,PV_UTOP2,PV_UTOP3,PV_UTOP33,PV_UTOPCO,PV_UTOPCO2,PV_UTOPCO3,PV_UTOPEX1,PV_UTOPEX3,PV_UTOPMO2,PV_UTOPMO4,PV_UTOPMO6,PV_UTOPMONI,PV_UTOPNICU,PV_UTOPSP,PV_UTOPTI,PV_VCMO140,PV_VCMO230,PV_VCNMO200,PV_VCNMO200_DROBIŽ,PV_X45,PV_E1,PV_E3,PV_E40,PV_E6,PV_E8,PV_GRODELJ,PV_Kore,FeCr,FeNi,FeMo,FeV,FeW
71601,52230.0,800.0,1000.0,,,11.48,0.0,1900.0,,0.11,0.0,0.0,,0.77,320.0,0.0,,0.75,510.0,,0.2,0.0,0.0,11.2,11.46,12.0,0.75,0.78,0.9,0,0,0.25,0.75,0.8,0.9,0,0,0.2,15,0,0.0,0.0,0,150,16.5,300,0,25.8,0,0,100,0,0,0,0,0,0,0,70,0,0,0,190,0,0,0,0,25,0,0,0,0,0,0,0,100,0,0,0,0.0,1460.0,3032,690,0.0,0.0,0.0,43700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43700,0,0,0,0,0,1900.0,0,320.0,510.0,0.0
71602,49290.0,1000.0,2500.0,,,11.58,0.0,2000.0,,0.1,0.0,0.0,,0.81,650.0,0.0,,0.8,490.0,,0.04,0.0,0.0,11.2,11.46,12.0,0.75,0.78,0.9,0,0,0.25,0.75,0.8,0.9,0,0,0.2,20,0,0.0,0.0,0,50,16.5,200,0,0.0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,150,0,0,0,0,50,0,0,0,0,0,0,0,140,0,0,0,0.0,1460.0,3376,460,0.0,0.0,0.0,42100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42100,0,0,0,0,0,2000.0,0,650.0,490.0,0.0
71609,45210.0,800.0,1500.0,,,11.51,0.0,200.0,,0.29,0.0,0.0,,0.83,40.0,0.0,,0.82,220.0,,0.1,0.0,0.0,11.2,11.46,12.0,0.75,0.78,0.9,0,0,0.25,0.75,0.8,0.9,0,0,0.2,20,0,0.0,0.0,0,70,16.5,200,0,0.0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,130,0,0,0,0,60,0,0,0,0,0,0,0,100,0,0,0,0.0,1460.0,676,450,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,200.0,0,40.0,220.0,0.0
71610,46880.0,600.0,400.0,,,11.56,0.0,0.0,,0.18,0.0,0.0,,0.77,420.0,0.0,,0.82,390.0,,0.2,0.0,0.0,11.2,11.46,12.0,0.75,0.78,0.9,0,0,0.25,0.75,0.8,0.9,0,0,0.2,20,0,0.0,0.0,0,50,16.5,300,0,0.0,0,0,100,0,0,0,0,0,0,0,70,0,0,0,130,0,0,0,0,300,0,0,0,0,0,0,0,150,0,0,0,0.0,1460.0,1026,920,0.0,0.0,0.0,0.0,0.0,16600.0,0.0,0.0,0.0,20000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16600,0,0,0,0.0,0,420.0,390.0,0.0
71616,42000.0,600.0,100.0,,,11.6,0.0,0.0,,0.21,0.0,0.0,,0.8,20.0,0.0,,0.95,290.0,,0.18,0.0,0.0,11.0,11.4,12.0,0.75,0.8,0.85,0,0,0.25,0.9,0.96,1.0,0,0,0.15,5,0,0.0,0.0,0,70,16.5,300,0,0.0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,150,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0.0,1460.0,526,585,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0.0,0,20.0,290.0,0.0
71638,47380.0,400.0,2200.0,,,11.58,0.0,200.0,,0.16,0.0,0.0,,0.78,120.0,0.0,,0.92,290.0,,0.1,0.0,0.0,11.5,11.75,12.0,0.75,0.78,0.85,0,0,0.3,0.9,0.95,1.0,0,0,0.15,15,0,0.0,0.0,0,70,23.5,300,0,34.4,0,0,0,0,0,0,0,0,0,0,40,0,0,0,50,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0.0,1460.0,758,510,0.0,0.0,0.0,0.0,0.0,16600.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16600,0,0,0,200.0,0,120.0,290.0,0.0
71641,45830.0,900.0,2000.0,,,11.86,0.0,0.0,,0.15,0.0,0.0,,0.78,150.0,0.0,,0.77,200.0,,0.09,0.0,0.0,11.2,11.46,12.0,0.75,0.78,0.9,0,0,0.25,0.75,0.8,0.9,0,0,0.2,12,0,0.0,0.0,0,80,23.5,300,0,10.3,0,0,100,0,0,0,0,0,0,0,30,0,0,0,120,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0.0,1460.0,534,517,0.0,0.0,0.0,0.0,0.0,13800.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13800,0,0,0,0.0,0,150.0,200.0,0.0
71642,48100.0,1000.0,800.0,,,11.61,0.0,400.0,,0.16,0.0,0.0,,0.8,200.0,0.0,,0.96,320.0,,0.07,0.0,0.0,11.5,11.75,12.0,0.75,0.78,0.85,0,0,0.3,0.9,0.95,1.0,0,0,0.15,15,0,0.0,0.0,0,80,16.5,300,0,17.2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,140,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0.0,1460.0,1143,490,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,0,0,400.0,0,200.0,320.0,0.0
71643,49400.0,1000.0,500.0,,,11.75,0.0,450.0,,0.16,0.0,0.0,,0.82,175.0,0.0,,0.95,320.0,,0.09,0.0,0.0,11.5,11.75,12.0,0.75,0.78,0.85,0,0,0.3,0.9,0.95,1.0,0,0,0.15,15,0,0.0,0.0,0,80,16.5,300,0,0.0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1460.0,1081,395,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,0,0,450.0,0,175.0,320.0,0.0
71644,49440.0,800.0,400.0,,,11.59,0.0,900.0,,0.17,0.0,0.0,,0.81,180.0,0.0,,0.79,230.0,,0.07,0.0,0.0,11.2,11.46,12.0,0.75,0.78,0.9,0,0,0.25,0.75,0.8,0.9,0,0,0.2,10,0,0.0,0.0,0,70,16.5,300,0,0.0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,60,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0.0,1460.0,1406,450,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,0,0,900.0,0,180.0,230.0,0.0
71756,48100.0,500.0,1600.0,,,11.67,0.0,1300.0,,0.12,0.0,0.0,,0.79,630.0,0.0,,0.97,570.0,,0.0,0.0,0.0,11.5,11.75,12.0,0.75,0.78,0.85,0,0,0.3,0.9,0.95,1.0,0,0,0.15,15,0,0.0,0.0,0,100,23.5,350,0,17.2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1460.0,2781,465,0.0,0.0,0.0,43400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43400,0,0,0,0,0,1300.0,0,630.0,570.0,0.0
71765,48100.0,1000.0,1000.0,,,11.74,0.0,1050.0,,0.13,0.0,0.0,,0.79,640.0,0.0,,0.95,570.0,,0.02,0.0,0.0,11.5,11.7,12.0,0.75,0.79,0.85,0,0,0.3,0.9,0.94,1.0,0,0,0.15,20,0,0.0,0.0,0,270,16.5,500,0,0.0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,130,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0.0,1455.0,2466,815,0.0,0.0,0.0,43600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43600,0,0,0,0,0,1050.0,0,640.0,570.0,0.0
71774,48410.0,400.0,2500.0,,,11.72,0.0,650.0,,0.11,0.0,0.0,,0.8,640.0,0.0,,0.98,580.0,,0.02,0.0,0.0,11.5,11.75,12.0,0.75,0.78,0.85,0,0,0.3,0.9,0.95,1.0,0,0,0.15,15,0,0.0,0.0,0,120,23.5,400,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.0,1460.0,2011,635,0.0,0.0,0.0,43700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43700,0,0,0,0,0,650.0,0,640.0,580.0,0.0
71777,48100.0,1000.0,1200.0,,,11.79,0.0,400.0,,0.12,0.0,0.0,,0.79,380.0,0.0,,0.95,420.0,,0.14,0.0,0.0,11.5,11.75,12.0,0.75,0.78,0.85,0,0,0.3,0.9,0.95,1.0,0,0,0.15,20,0,0.0,0.0,0,50,16.5,300,0,0.0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,100,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0.0,1455.0,1386,400,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,400.0,0,380.0,420.0,0.0
71778,47380.0,600.0,200.0,,,11.75,0.0,350.0,,0.14,0.0,0.0,,0.79,360.0,0.0,,0.95,410.0,,0.1,0.0,0.0,11.5,11.75,12.0,0.75,0.78,0.85,0,0,0.3,0.9,0.95,1.0,0,0,0.15,20,0,0.0,0.0,0,50,16.5,300,0,0.0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,100,0,0,0,0,120,0,0,0,0,0,0,0,150,0,0,0,0.0,1455.0,1306,640,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,350.0,0,360.0,410.0,0.0
71780,44850.0,800.0,300.0,,,11.71,0.0,0.0,,0.14,0.0,0.0,,0.8,340.0,0.0,,0.81,290.0,,0.1,0.0,0.0,11.2,11.46,12.0,0.75,0.78,0.9,0,0,0.25,0.75,0.8,0.9,0,0,0.2,10,0,0.0,0.0,0,70,16.5,300,0,10.3,0,0,0,5,0,0,0,0,0,0,30,0,0,0,80,0,0,0,0,75,0,0,0,0,0,0,0,50,0,0,0,0.0,1455.0,766,510,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,0,0,0.0,0,340.0,290.0,0.0
71807,48100.0,500.0,400.0,,,11.78,0.0,250.0,,0.28,0.0,0.0,,0.77,45.0,0.0,,0.97,300.0,,0.21,0.0,0.0,11.5,11.75,12.0,0.75,0.78,0.85,0,0,0.3,0.9,0.95,1.0,0,0,0.15,22,0,0.0,0.0,0,100,16.5,400,0,10.3,0,0,80,0,0,0,0,0,0,0,60,0,0,0,100,0,0,0,0,210,0,0,0,0,0,0,0,100,0,0,0,0.0,1455.0,781,912,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,47500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,250.0,0,45.0,300.0,0.0
71815,45120.0,500.0,1000.0,,,11.39,0.0,500.0,,0.2,0.0,0.0,,0.77,0.0,0.0,,0.94,285.0,,0.28,0.0,0.0,11.0,11.4,12.0,0.7,0.75,0.8,0,0,0.25,0.9,0.95,1.0,0,0,0.15,12,0,0.0,0.0,0,100,35.3,500,0,25.8,0,0,0,0,0,0,0,0,0,0,50,0,0,0,120,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0.0,1455.0,1016,762,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,500.0,0,0.0,285.0,0.0
71816,43800.0,1000.0,500.0,,,11.46,0.0,620.0,,0.18,0.0,0.0,,0.73,0.0,0.0,,0.98,270.0,,0.11,0.0,0.0,11.2,11.46,12.0,0.7,0.73,0.9,0,0,0.3,0.9,0.97,1.1,0,0,0.2,18,0,0.0,0.0,0,80,35.3,300,0,10.3,0,0,80,0,0,0,0,0,0,0,60,0,0,0,80,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0.0,1455.0,1075,503,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,620.0,0,0.0,270.0,0.0
